T/1	Light/1	Pupil/3			
138	0.0000	0.0000	0.0000	0.3677	
139	0.0000	0.0000	0.0000	0.3692	
140	0.0000	0.0000	0.0000	0.3707	
141	0.0000	0.0000	0.0000	0.3722	
142	0.0000	0.0000	0.0000	0.3736	
143	0.0000	0.0000	0.0000	0.3749	
144	0.0000	0.0000	0.0000	0.3763	
145	0.0000	0.0000	0.0000	0.3776	
146	0.0000	0.0000	0.0000	0.3788	
147	0.0000	0.0000	0.0000	0.3801	
148	0.0000	0.0000	0.0000	0.3812	
149	0.0000	0.0000	0.0000	0.3824	
150	0.0000	0.0000	0.0000	0.3835	
151	0.0000	0.0000	0.0000	0.3846	
152	0.0000	0.0000	0.0000	0.3856	
153	0.0000	0.0000	0.0000	0.3866	
154	0.0000	0.0000	0.0000	0.3876	
155	0.0000	0.0000	0.0000	0.3885	
156	0.0000	0.0000	0.0000	0.3894	
157	0.0000	0.0000	0.0000	0.3903	
158	0.0000	0.0000	0.0000	0.3911	
159	0.0000	0.0000	0.0000	0.3920	
160	0.0000	0.0000	0.0000	0.3927	
161	0.0000	0.0000	0.0000	0.3935	
162	0.0000	0.0000	0.0000	0.3942	
163	0.0000	0.0000	0.0000	0.3949	
164	0.0000	0.0000	0.0000	0.3956	
165	0.0000	0.0000	0.0000	0.3962	
166	0.0000	0.0000	0.0000	0.3968	
167	0.0000	0.0000	0.0000	0.3974	
168	0.0000	0.0000	0.0000	0.3980	
169	0.0000	0.0000	0.0000	0.3985	
170	0.0000	0.0000	0.0000	0.3990	
171	0.0000	0.0000	0.0000	0.3995	
172	0.0000	0.0000	0.0000	0.4000	
173	0.0000	0.0000	0.0000	0.4005	
174	0.0000	0.0000	0.0000	0.4009	
175	0.0000	0.0000	0.0000	0.4013	
176	0.0000	0.0000	0.0000	0.4017	
177	0.0000	0.0000	0.0000	0.4021	
178	0.0000	0.0000	0.0000	0.4025	
179	0.0000	0.0000	0.0000	0.4029	
180	0.0000	0.0000	0.0000	0.4032	
181	0.0000	0.0000	0.0000	0.4035	
182	0.0000	0.0000	0.0000	0.4038	
183	0.0000	0.0000	0.0000	0.4041	
184	0.0000	0.0000	0.0000	0.4044	
185	0.0000	0.0000	0.0000	0.4047	
186	0.0000	0.0000	0.0000	0.4049	
187	0.0000	0.0000	0.0000	0.4052	
188	0.0000	0.0000	0.0000	0.4054	
189	0.0000	0.0000	0.0000	0.4056	
190	0.0000	0.0000	0.0000	0.4058	
191	0.0000	0.0000	0.0000	0.4060	
192	0.0000	0.0000	0.0000	0.4062	
193	0.0000	0.0000	0.0000	0.4064	
194	0.0000	0.0000	0.0000	0.4066	
195	0.0000	0.0000	0.0000	0.4068	
196	0.0000	0.0000	0.0000	0.4069	
197	0.0000	0.0000	0.0000	0.4071	
198	0.0000	0.0000	0.0000	0.4072	
199	0.0000	0.0000	0.0000	0.4074	
200	0.0000	0.0000	0.0000	0.4075	
201	0.0000	0.0000	0.0000	0.4076	
202	0.0000	0.0000	0.0000	0.4077	
203	0.0000	0.0000	0.0000	0.4079	
204	0.0000	0.0000	0.0000	0.4080	
205	0.0000	0.0000	0.0000	0.4081	
206	0.0000	0.0000	0.0000	0.4082	
207	0.0000	0.0000	0.0000	0.4083	
208	0.0000	0.0000	0.0000	0.4084	
209	0.0000	0.0000	0.0000	0.4084	
210	0.0000	0.0000	0.0000	0.4085	
211	0.0000	0.0000	0.0000	0.4086	
212	0.0000	0.0000	0.0000	0.4087	
213	0.0000	0.0000	0.0000	0.4087	
214	0.0000	0.0000	0.0000	0.4088	
215	0.0000	0.0000	0.0000	0.4089	
216	0.0000	0.0000	0.0000	0.4089	
217	0.0000	0.0000	0.0000	0.4090	
218	0.0000	0.0000	0.0000	0.4090	
219	0.0000	0.0000	0.0000	0.4091	
220	0.0000	0.0000	0.0000	0.4091	
221	0.0000	0.0000	0.0000	0.4092	
222	0.0000	0.0000	0.0000	0.4092	
223	0.0000	0.0000	0.0000	0.4093	
224	0.0000	0.0000	0.0000	0.4093	
225	0.0000	0.0000	0.0000	0.4094	
226	0.0000	0.0000	0.0000	0.4094	
227	0.0000	0.0000	0.0000	0.4094	
228	0.0000	0.0000	0.0000	0.4095	
229	0.0000	0.0000	0.0000	0.4095	
230	0.0000	0.0000	0.0000	0.4095	
231	0.0000	0.0000	0.0000	0.4096	
232	0.0000	0.0000	0.0000	0.4096	
233	0.0000	0.0000	0.0000	0.4096	
234	0.0000	0.0000	0.0000	0.4096	
235	0.0000	0.0000	0.0000	0.4097	
236	0.0000	0.0000	0.0000	0.4097	
237	0.0000	0.0000	0.0000	0.4097	
238	0.0000	0.0000	0.0000	0.4097	
239	0.0000	0.0000	0.0000	0.4097	
240	0.0000	0.0000	0.0000	0.4098	
241	0.0000	0.0000	0.0000	0.4098	
242	0.0000	0.0000	0.0000	0.4098	
