T/1	Light/1	Pupil/3			
159	0.0000	0.0000	0.0000	0.2095	
160	0.0000	0.0000	0.0000	0.2110	
161	0.0000	0.0000	0.0000	0.2126	
162	0.0000	0.0000	0.0000	0.2142	
163	0.0000	0.0000	0.0000	0.2159	
164	0.0000	0.0000	0.0000	0.2177	
165	0.0000	0.0000	0.0000	0.2195	
166	0.0000	0.0000	0.0000	0.2213	
167	0.0000	0.0000	0.0000	0.2232	
168	0.0000	0.0000	0.0000	0.2250	
169	0.0000	0.0000	0.0000	0.2269	
170	0.0000	0.0000	0.0000	0.2288	
171	0.0000	0.0000	0.0000	0.2308	
172	0.0000	0.0000	0.0000	0.2327	
173	0.0000	0.0000	0.0000	0.2346	
174	0.0000	0.0000	0.0000	0.2365	
175	0.0000	0.0000	0.0000	0.2384	
176	0.0000	0.0000	0.0000	0.2403	
177	0.0000	0.0000	0.0000	0.2422	
178	0.0000	0.0000	0.0000	0.2440	
179	0.0000	0.0000	0.0000	0.2459	
180	0.0000	0.0000	0.0000	0.2477	
181	0.0000	0.0000	0.0000	0.2495	
182	0.0000	0.0000	0.0000	0.2512	
183	0.0000	0.0000	0.0000	0.2529	
184	0.0000	0.0000	0.0000	0.2546	
185	0.0000	0.0000	0.0000	0.2563	
186	0.0000	0.0000	0.0000	0.2579	
187	0.0000	0.0000	0.0000	0.2595	
188	0.0000	0.0000	0.0000	0.2611	
189	0.0000	0.0000	0.0000	0.2626	
190	0.0000	0.0000	0.0000	0.2641	
191	0.0000	0.0000	0.0000	0.2655	
192	0.0000	0.0000	0.0000	0.2669	
193	0.0000	0.0000	0.0000	0.2683	
194	0.0000	0.0000	0.0000	0.2696	
195	0.0000	0.0000	0.0000	0.2709	
196	0.0000	0.0000	0.0000	0.2722	
197	0.0000	0.0000	0.0000	0.2734	
198	0.0000	0.0000	0.0000	0.2746	
199	0.0000	0.0000	0.0000	0.2757	
200	0.0000	0.0000	0.0000	0.2768	
201	0.0000	0.0000	0.0000	0.2779	
202	0.0000	0.0000	0.0000	0.2789	
203	0.0000	0.0000	0.0000	0.2799	
204	0.0000	0.0000	0.0000	0.2809	
205	0.0000	0.0000	0.0000	0.2818	
206	0.0000	0.0000	0.0000	0.2827	
207	0.0000	0.0000	0.0000	0.2836	
208	0.0000	0.0000	0.0000	0.2844	
209	0.0000	0.0000	0.0000	0.2852	
210	0.0000	0.0000	0.0000	0.2860	
211	0.0000	0.0000	0.0000	0.2867	
212	0.0000	0.0000	0.0000	0.2875	
213	0.0000	0.0000	0.0000	0.2881	
214	0.0000	0.0000	0.0000	0.2888	
215	0.0000	0.0000	0.0000	0.2894	
216	0.0000	0.0000	0.0000	0.2900	
217	0.0000	0.0000	0.0000	0.2906	
218	0.0000	0.0000	0.0000	0.2912	
219	0.0000	0.0000	0.0000	0.2917	
220	0.0000	0.0000	0.0000	0.2922	
221	0.0000	0.0000	0.0000	0.2927	
222	0.0000	0.0000	0.0000	0.2932	
223	0.0000	0.0000	0.0000	0.2937	
224	0.0000	0.0000	0.0000	0.2941	
225	0.0000	0.0000	0.0000	0.2945	
226	0.0000	0.0000	0.0000	0.2949	
227	0.0000	0.0000	0.0000	0.2953	
228	0.0000	0.0000	0.0000	0.2957	
229	0.0000	0.0000	0.0000	0.2960	
230	0.0000	0.0000	0.0000	0.2963	
231	0.0000	0.0000	0.0000	0.2967	
232	0.0000	0.0000	0.0000	0.2970	
233	0.0000	0.0000	0.0000	0.2973	
234	0.0000	0.0000	0.0000	0.2975	
235	0.0000	0.0000	0.0000	0.2978	
236	0.0000	0.0000	0.0000	0.2981	
237	0.0000	0.0000	0.0000	0.2983	
238	0.0000	0.0000	0.0000	0.2985	
239	0.0000	0.0000	0.0000	0.2988	
240	0.0000	0.0000	0.0000	0.2990	
241	0.0000	0.0000	0.0000	0.2992	
242	0.0000	0.0000	0.0000	0.2994	
243	0.0000	0.0000	0.0000	0.2995	
244	0.0000	0.0000	0.0000	0.2997	
245	0.0000	0.0000	0.0000	0.2999	
246	0.0000	0.0000	0.0000	0.3000	
247	0.0000	0.0000	0.0000	0.3002	
248	0.0000	0.0000	0.0000	0.3003	
249	0.0000	0.0000	0.0000	0.3005	
250	0.0000	0.0000	0.0000	0.3006	
251	0.0000	0.0000	0.0000	0.3007	
252	0.0000	0.0000	0.0000	0.3009	
253	0.0000	0.0000	0.0000	0.3010	
254	0.0000	0.0000	0.0000	0.3011	
255	0.0000	0.0000	0.0000	0.3012	
256	0.0000	0.0000	0.0000	0.3013	
257	0.0000	0.0000	0.0000	0.3014	
258	0.0000	0.0000	0.0000	0.3015	
259	0.0000	0.0000	0.0000	0.3015	
260	0.0000	0.0000	0.0000	0.3016	
261	0.0000	0.0000	0.0000	0.3017	
262	0.0000	0.0000	0.0000	0.3018	
263	0.0000	0.0000	0.0000	0.3018	
264	0.0000	0.0000	0.0000	0.3019	
265	0.0000	0.0000	0.0000	0.3020	
266	0.0000	0.0000	0.0000	0.3020	
267	0.0000	0.0000	0.0000	0.3021	
268	0.0000	0.0000	0.0000	0.3021	
269	0.0000	0.0000	0.0000	0.3022	
270	0.0000	0.0000	0.0000	0.3022	
271	0.0000	0.0000	0.0000	0.3023	
272	0.0000	0.0000	0.0000	0.3023	
273	0.0000	0.0000	0.0000	0.3024	
274	0.0000	0.0000	0.0000	0.3024	
275	0.0000	0.0000	0.0000	0.3025	
276	0.0000	0.0000	0.0000	0.3025	
277	0.0000	0.0000	0.0000	0.3025	
278	0.0000	0.0000	0.0000	0.3026	
279	0.0000	0.0000	0.0000	0.3026	
