T/1	Light/1	Pupil/3			
138	0.0000	0.0000	0.0000	0.3008	
139	0.0000	0.0000	0.0000	0.3009	
140	0.0000	0.0000	0.0000	0.3010	
141	0.0000	0.0000	0.0000	0.3011	
142	0.0000	0.0000	0.0000	0.3012	
143	0.0000	0.0000	0.0000	0.3013	
144	0.0000	0.0000	0.0000	0.3014	
145	0.0000	0.0000	0.0000	0.3015	
146	0.0000	0.0000	0.0000	0.3016	
147	0.0000	0.0000	0.0000	0.3017	
148	0.0000	0.0000	0.0000	0.3017	
149	0.0000	0.0000	0.0000	0.3018	
150	0.0000	0.0000	0.0000	0.3019	
151	0.0000	0.0000	0.0000	0.3019	
152	0.0000	0.0000	0.0000	0.3020	
153	0.0000	0.0000	0.0000	0.3021	
154	0.0000	0.0000	0.0000	0.3021	
155	0.0000	0.0000	0.0000	0.3022	
156	0.0000	0.0000	0.0000	0.3022	
157	0.0000	0.0000	0.0000	0.3023	
158	0.0000	0.0000	0.0000	0.3023	
159	0.0000	0.0000	0.0000	0.3023	
160	0.0000	0.0000	0.0000	0.3024	
161	0.0000	0.0000	0.0000	0.3024	
162	0.0000	0.0000	0.0000	0.3025	
163	0.0000	0.0000	0.0000	0.3025	
164	0.0000	0.0000	0.0000	0.3025	
165	0.0000	0.0000	0.0000	0.3026	
166	0.0000	0.0000	0.0000	0.3026	
167	0.0000	0.0000	0.0000	0.3026	
168	0.0000	0.0000	0.0000	0.3027	
169	0.0000	0.0000	0.0000	0.3027	
170	0.0000	0.0000	0.0000	0.3027	
171	0.0000	0.0000	0.0000	0.3027	
172	0.0000	0.0000	0.0000	0.3028	
173	0.0000	0.0000	0.0000	0.3028	
174	0.0000	0.0000	0.0000	0.3028	
175	0.0000	0.0000	0.0000	0.3028	
176	0.0000	0.0000	0.0000	0.3028	
177	0.0000	0.0000	0.0000	0.3028	
178	0.0000	0.0000	0.0000	0.3029	
179	0.0000	0.0000	0.0000	0.3029	
180	0.0000	0.0000	0.0000	0.3029	
181	0.0000	0.0000	0.0000	0.3029	
182	0.0000	0.0000	0.0000	0.3029	
183	0.0000	0.0000	0.0000	0.3029	
184	0.0000	0.0000	0.0000	0.3030	
